ALUNO;ANO;PEDRA;DESTAQUE_IPV;DESTAQUE_IDA;TURMA;ANOS_PM;REC_EQUIPE_4;REC_EQUIPE_2;SINALIZADOR_INGRESSANTE;DESTAQUE_IEG;REC_EQUIPE_3;NOTA_MAT;CF;REC_AVA_3;CT;INDICADO_BOLSA;IDADE_ALUNO;BOLSISTA;IPV;IAA;IAN;FASE_TURMA;IPP;DEFASAGEM;REC_EQUIPE_1;REC_AVA_4;INSTITUICAO_ENSINO_ALUNO;IDA;NOTA_PORT;NOTA_ING;IPS;ANO_INGRESSO;QTD_AVAL;IEG;PONTO_VIRADA;REC_AVA_2;NIVEL_IDEAL;INDE;CG;INDE_CONCEITO;FASE;REC_AVA_1
ALUNO-1;2020;Ametista;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;2;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;11;;7.75;8.500020000000001;10;2H;5.9375;;;;Escola Pública;7;;;7.5;;;8.7;Não;;;7.883752;;B;;
ALUNO-1;2021;Ametista;;;G;;Não avaliado;Promovido de Fase;Ingressante;;Mantido na Fase atual;;;;;;;;8.1;7.5;5.0;;7.7;-1.0;Promovido de Fase;;Rede Decisão;8.8;;;6.9;;;6.3;Não;;Nível 3 (7o e 8o ano);7.319;;;2.0;
ALUNO-1;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-2;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-2;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-2;2022;Ametista;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Destaque: As suas boas notas na Passos Mágicos.;K;;;;;Destaque: A sua boa entrega das lições de casa.;;9.43;66.0;;6.0;Sim;;Não;7.92;10.0;5.0;;5.62;;;;;8.82;8.2;nan;7.5;2022.0;2.0;7.58;Não;Mantido na Fase atual;Fase 2 (5º e 6º ano);7.68;245.0;;0.0;Mantido na Fase + Bolsa
ALUNO-3;2020;Ametista;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;2;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;12;;8.111113333333334;7.91667;10;3H;8.125;;;;Escola Pública;5.5;;;7.5;;;8.9;Não;;;7.856389666666666;;B;;
ALUNO-3;2021;Ametista;;;F;;Não avaliado;Promovido de Fase;Veterano;;Mantido na Fase atual;;;;;;;;7.2;7.1;10.0;;7.3;0.0;Promovido de Fase;;Escola Pública;5.6;;;6.3;;;6.9;Não;;Nível 3 (7o e 8o ano);7.021;;;3.0;
ALUNO-3;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-4;2020;Quartzo;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;2;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;10;;7.75;8.000020000000001;5;1D;7.1875;;;;Escola Pública;0;;;6.875;;;4.1;Não;;;5.076252;;D;;
ALUNO-4;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-4;2022;Ametista;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;J;;;;;Destaque: A sua boa entrega das lições de casa.;;5.17;69.0;Promovido de Fase;3.0;Não;;Não;8.06;10.0;5.0;;6.25;;;;;5.08;5.0;nan;7.5;2022.0;3.0;8.07;Não;Mantido na Fase atual;Fase 3 (7º e 8º ano);7.12;451.0;;2.0;Promovido de Fase
ALUNO-5;2020;Ametista;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;;1;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;10;;8.166665;7.50002;10;2M;8.4375;;;;Escola Pública;7.5;;;7.5;;;8;Não;;;8.077085;;B;;
ALUNO-5;2021;Ametista;;;L;;Não avaliado;Mantido na Fase atual;Veterano;;Mantido na Fase atual;;;;;;;;7.4;7.4;10.0;;8.5;0.0;Promovido de Fase;;Escola Pública;5.4;;;7.5;;;7.5;Não;;Nível 2 (5o e 6o ano);7.399;;;2.0;
ALUNO-5;2022;Ametista;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;L;;;;;Destaque: A sua boa entrega das lições de casa.;;7.5;61.0;Mantido na Fase atual;12.0;Não;;Não;7.83;6.42;5.0;;6.46;;;;;7.08;6.67;nan;7.5;2019.0;3.0;8.56;Não;Promovido de Fase;Fase 3 (7º e 8º ano);7.23;415.0;;2.0;Mantido na Fase atual
ALUNO-6;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-6;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-6;2022;Ametista;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;K;;;;;Destaque: A sua boa entrega das lições de casa.;;8.0;35.0;Mantido na Fase atual;2.0;Não;;Não;7.5;9.0;10.0;;6.25;;;;;5.5;3.0;nan;7.5;2022.0;3.0;9.33;Não;Promovido de Fase;Fase 2 (5º e 6º ano);7.74;221.0;;2.0;Mantido na Fase atual
ALUNO-7;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-7;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-7;2022;Ametista;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;U;;;;;Destaque: A sua boa entrega das lições de casa.;;6.5;93.0;;7.0;Não;;Não;7.92;10.0;5.0;;5.94;;;;;5.58;4.67;nan;7.5;2022.0;2.0;9.31;Não;Promovido de Fase;Fase 2 (5º e 6º ano);7.41;357.0;;1.0;Promovido de Fase
ALUNO-8;2020;Ametista;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;3;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;14;;8.94445;8.33334;10;4L;8.749999999999998;;;;Rede Decisão/União;7.333333333333333;;;4.375;;;9.9;Sim;;;8.381390666666666;;B;;
ALUNO-8;2021;Topázio;;;L;;Mantido na Fase atual;Promovido de Fase;Veterano;;Promovido de Fase;;;;;;;;8.5;8.8;10.0;;8.0;0.0;Promovido de Fase + Bolsa;;Rede Decisão;7.1;;;7.5;;;8.6;Não;;Nível 5 (1o EM);8.269;;;5.0;
ALUNO-8;2022;Ametista;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;K;;;;;Destaque: A sua boa entrega das lições de casa.;;7.67;26.0;Promovido de Fase + Bolsa;6.0;Não;;Sim;7.63;9.17;5.0;;7.66;;;Promovido de Fase;;7.14;6.5;7.27;5.0;2017.0;4.0;8.27;Não;Mantido na Fase atual;Fase 6 (2º EM);7.29;397.0;;5.0;Promovido de Fase + Bolsa
ALUNO-9;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-9;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-9;2022;Quartzo;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Z;;;;;Melhorar: Melhorar a sua entrega de lições de casa.;;1.8;184.0;;9.0;Não;;Não;5.5;9.0;10.0;;3.75;;;;;2.13;2.47;nan;5.0;2022.0;2.0;6.82;Não;Mantido na Fase atual;ALFA  (2º e 3º ano);5.67;767.0;;0.0;Mantido na Fase atual
ALUNO-10;2020;Quartzo;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;1;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;13;;6.8333325;5.83333;10;3B;7.96875;;;;Escola Pública;0;;;3.75;;;5.2;Não;;;5.1618745;;D;;
ALUNO-10;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-10;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-11;2020;Topázio;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;;0;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;8;;10.00001;9.000020000000001;10;0A;10;;;;Escola Pública;10;;;8.125;;;10;Sim;;;9.712504000000001;;A;;
ALUNO-11;2021;Topázio;;;A;;Não avaliado;Mantido na Fase atual;Veterano;;Mantido na Fase atual;;;;;;;;9.7;9.0;10.0;;7.7;0.0;Promovido de Fase;;Rede Decisão;8.8;;;6.3;;;10.0;Sim;;Nível 1 (4o ano);8.990;;;1.0;
ALUNO-11;2022;Topázio;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Destaque: As suas boas notas na Passos Mágicos.;A;;;;;Destaque: A sua boa entrega das lições de casa.;;9.67;5.0;Promovido de Fase + Bolsa;1.0;Não;;Sim;9.5;8.0;5.0;;7.08;;;;;9.83;10.0;nan;7.5;2020.0;3.0;9.2;Sim;Promovido de Fase;Fase 2 (5º e 6º ano);8.46;40.0;;1.0;Promovido de Fase + Bolsa
ALUNO-12;2020;Quartzo;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;3;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;14;;5.277770000000001;6.25;5;3G;5.624999999999999;;;;Rede Decisão/União;6.666666666666667;;;5.625;;;6;Não;;;5.838887333333334;;D;;
ALUNO-12;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-12;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-13;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-13;2021;Quartzo;;;T;;Não avaliado;Não avaliado;Ingressante;;Não avaliado;;;;;;;;6.0;8.0;5.0;;0.0;-1.0;Não avaliado;;Escola Pública;0.8;;;7.5;;;0.0;Não;;Nível 1 (4o ano);3.413;;;0.0;
ALUNO-13;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-14;2020;Ágata;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;2;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;11;;7.916665;8.000020000000001;10;2M;8.4375;;;;Escola Pública;0;;;6.875;;;7.6;Não;;;6.434585;;C;;
ALUNO-14;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-14;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-15;2020;Quartzo;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;1;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;12;;7.25;8.500020000000001;5;2D;8.125;;;;Escola Pública;0;;;7.5;;;4;Não;;;5.162502;;D;;
ALUNO-15;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-15;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-16;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-16;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-16;2022;Ágata;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;P;;;;;Destaque: A sua boa entrega das lições de casa.;;7.17;129.0;Mantido na Fase atual;9.0;Não;;Não;6.72;8.5;5.0;;4.79;;;;;6.33;5.5;nan;6.88;2022.0;3.0;9.34;Não;Promovido de Fase;Fase 2 (5º e 6º ano);7.0;489.0;;1.0;Mantido na Fase atual
ALUNO-17;2020;Ametista;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;;2;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;13;;7.75;9.500020000000001;5;1G;6.5625;;;;Escola Pública;10;;;7.5;;;6.8;Não;;;7.766252;;B;;
ALUNO-17;2021;Ágata;;;G;;Não avaliado;Mantido na Fase atual;Veterano;;Mantido na Fase + Bolsa;;;;;;;;8.8;9.5;5.0;;8.4;-2.0;Não avaliado;;Escola Pública;2.6;;;7.5;;;4.2;Não;;Nível 3 (7o e 8o ano);6.140;;;1.0;
ALUNO-17;2022;Ágata;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;G;;;;;Melhorar: Melhorar a sua entrega de lições de casa.;;6.67;142.0;;6.0;Não;;Não;7.5;9.5;5.0;;5.94;;;;;5.5;4.33;nan;7.5;2018.0;2.0;6.65;Não;Promovido de Fase;Fase 3 (7º e 8º ano);6.72;580.0;;1.0;Mantido na Fase atual
ALUNO-18;2020;Ágata;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;3;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;14;;7.944446666666665;9.58335;5;3E;7.083333333333334;;;;Escola Pública;6.5;;;7.5;;;7;Não;;;7.2055576666666665;;C;;
ALUNO-18;2021;Ágata;;;F;;Mantido na Fase atual;Promovido de Fase + Bolsa;Veterano;;Mantido na Fase atual;;;;;;;;5.2;10.0;5.0;;7.7;-1.0;Mantido na Fase atual;;Escola Pública;5.3;;;6.3;;;3.3;Não;;Nível 5 (1o EM);5.666;;;4.0;
ALUNO-18;2022;Quartzo;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;H;;;;;Melhorar: Melhorar a sua entrega de lições de casa.;;4.83;68.0;Promovido de Fase;7.0;Sim;;Não;7.25;0.0;5.0;;7.81;;;Promovido de Fase + Bolsa;;5.22;3.0;7.83;8.12;2017.0;4.0;6.29;Não;Mantido na Fase atual;Fase 6 (2º EM);5.85;746.0;;4.0;Promovido de Fase
ALUNO-19;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-19;2021;Ágata;;;C;;Não avaliado;Mantido na Fase atual;Ingressante;;Mantido na Fase atual;;;;;;;;8.3;9.0;5.0;;7.7;-1.0;Mantido na Fase atual;;Escola Pública;4.6;;;7.5;;;6.3;Não;;Nível 3 (7o e 8o ano);6.751;;;2.0;
ALUNO-19;2022;Ametista;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Q;;;;;Destaque: A sua boa entrega das lições de casa.;;8.17;29.0;Mantido na Fase atual;2.0;Não;;Não;8.11;10.0;5.0;;6.67;;;;;7.47;6.77;nan;7.5;2021.0;3.0;9.05;Não;Promovido de Fase;Fase 3 (7º e 8º ano);7.84;188.0;;2.0;Promovido de Fase
ALUNO-20;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-20;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-20;2022;Topázio;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Destaque: As suas boas notas na Passos Mágicos.;Z;;;;;Destaque: A sua boa entrega das lições de casa.;;8.17;3.0;;1.0;Não;;Não;8.5;10.0;10.0;;5.62;;;;;8.47;8.77;nan;7.5;2022.0;2.0;9.55;Sim;Mantido na Fase atual;ALFA  (2º e 3º ano);8.62;28.0;;0.0;Promovido de Fase
ALUNO-21;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-21;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-21;2022;Quartzo;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;N;;;;;Melhorar: Melhorar a sua entrega de lições de casa.;;6.17;114.0;Promovido de Fase;13.0;Não;;Não;6.22;7.92;2.5;;7.03;;;;;5.17;5.0;4.33;5.0;2022.0;3.0;5.65;Não;Mantido na Fase atual;Fase 6 (2º EM);5.65;771.0;;3.0;Mantido na Fase atual
ALUNO-22;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-22;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-22;2022;Topázio;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;Destaque: As suas boas notas na Passos Mágicos.;Z;;;;;Destaque: A sua boa entrega das lições de casa.;;8.97;32.0;;7.0;Não;;Não;7.17;8.0;10.0;;4.69;;;;;9.25;9.53;nan;7.5;2022.0;2.0;8.98;Não;Mantido na Fase atual;ALFA  (2º e 3º ano);8.1;116.0;;0.0;Promovido de Fase
ALUNO-23;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-23;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-23;2022;Ametista;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Destaque: As suas boas notas na Passos Mágicos.;U;;;;;Destaque: A sua boa entrega das lições de casa.;;9.0;51.0;;3.0;Não;;Não;8.33;8.0;5.0;;6.56;;;;;9.25;9.5;nan;7.5;2022.0;2.0;7.8;Não;Promovido de Fase;Fase 2 (5º e 6º ano);7.78;208.0;;1.0;Promovido de Fase
ALUNO-24;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-24;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-24;2022;Topázio;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;A;;;;;Destaque: A sua boa entrega das lições de casa.;;7.17;6.0;Mantido na Fase atual;1.0;Sim;;Não;8.61;10.0;10.0;;6.46;;;;;6.75;6.33;nan;6.88;2022.0;3.0;9.32;Sim;Mantido na Fase atual;Fase 2 (5º e 6º ano);8.27;66.0;;2.0;Mantido na Fase + Bolsa
ALUNO-25;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-25;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-25;2022;Ametista;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Destaque: As suas boas notas na Passos Mágicos.;Y;;;;;Destaque: A sua boa entrega das lições de casa.;;9.07;42.0;;3.0;Não;;Não;8.25;7.5;10.0;;3.12;;;;;9.1;9.13;nan;7.5;2022.0;2.0;8.35;Não;Mantido na Fase atual;ALFA  (2º e 3º ano);7.95;154.0;;0.0;Promovido de Fase
ALUNO-26;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-26;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-26;2022;Ametista;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;Destaque: As suas boas notas na Passos Mágicos.;F;;;;;Destaque: A sua boa entrega das lições de casa.;;9.17;60.0;;2.0;Não;;Não;7.08;9.0;5.0;;5.94;;;;;9.17;9.17;nan;7.5;2022.0;2.0;8.72;Não;Mantido na Fase atual;Fase 1 (4º ano);7.74;224.0;;0.0;Promovido de Fase
ALUNO-27;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-27;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-27;2022;Ágata;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;M;;;;;Melhorar: Melhorar a sua entrega de lições de casa.;;6.83;122.0;Mantido na Fase atual;9.0;Não;;Não;7.11;9.0;5.0;;5.62;;;;;4.58;2.33;nan;7.5;2022.0;3.0;6.49;Não;Mantido na Fase atual;Fase 4 (9º ano);6.35;668.0;;2.0;Mantido na Fase atual
ALUNO-28;2020;Topázio;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;;2;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;13;;9.944453333333334;9.58335;10;3J;10;;;;Rede Decisão/União;9;;;6.875;;;9.6;Sim;;;9.354725666666667;;A;;
ALUNO-28;2021;Topázio;;;G;;Promovido de Fase;Promovido de Fase + Bolsa;Ingressante;;Promovido de Fase + Bolsa;;;;;;;;9.9;8.3;10.0;;9.4;0.0;Promovido de Fase + Bolsa;;Rede Decisão;8.8;;;7.5;;;9.2;Sim;;Nível 4 (9o ano);9.079;;;4.0;
ALUNO-28;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-29;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-29;2021;Ágata;;;D;;Não avaliado;Promovido de Fase;Ingressante;;Mantido na Fase atual;;;;;;;;7.9;9.6;5.0;;7.5;-2.0;Promovido de Fase;;Escola Pública;3.8;;;7.5;;;5.3;Não;;Nível 5 (1o EM);6.342;;;3.0;
ALUNO-29;2022;Quartzo;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;C;;;;;Melhorar: Melhorar a sua entrega de lições de casa.;;4.0;129.0;Promovido de Fase;5.0;Não;;Não;5.71;0.0;2.5;;6.72;;;Mantido na Fase atual;;5.78;5.33;8.0;7.5;2021.0;4.0;4.83;Não;Mantido na Fase atual;Fase 6 (2º EM);4.94;827.0;;3.0;Promovido de Fase
ALUNO-30;2020;Ágata;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;0;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;7;;6.916665;7.9166799999999995;10;0C;2.5;;;;Escola Pública;4.75;;;7.5;;;10;Não;;;7.125001;;C;;
ALUNO-30;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-30;2022;Topázio;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Destaque: As suas boas notas na Passos Mágicos.;K;;;;;Destaque: A sua boa entrega das lições de casa.;;8.6;34.0;;5.0;Sim;;Não;8.25;10.0;5.0;;5.62;;;;;9.1;9.6;nan;7.5;2022.0;2.0;9.01;Não;Mantido na Fase atual;Fase 1 (4º ano);8.08;122.0;;0.0;Promovido de Fase + Bolsa
ALUNO-31;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-31;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-31;2022;Ametista;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;V;;;;;Melhorar: Melhorar a sua entrega de lições de casa.;;7.33;119.0;;6.0;Não;;Não;6.67;6.92;10.0;;5.31;;;;;7.47;7.6;nan;7.5;2022.0;2.0;7.32;Não;Mantido na Fase atual;ALFA  (2º e 3º ano);7.26;408.0;;0.0;Mantido na Fase atual
ALUNO-32;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUNO-32;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-32;2022;Ágata;Destaque: A sua boa integração aos Princípios Passos Mágicos.;Melhorar: Empenhar-se mais nas aulas e avaliações.;D;;;;;Destaque: A sua boa entrega das lições de casa.;;0.0;12.0;Mantido na Fase atual;7.0;Sim;;Não;7.75;7.92;5.0;;7.34;;;Mantido na Fase atual;;4.0;8.0;nan;7.5;2022.0;4.0;8.33;Não;Mantido na Fase atual;Fase 8 (Universitários);6.79;558.0;;7.0;Promovido de Fase + Bolsa
ALUNO-33;2020;Ágata;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;;0;;;;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;;;;;;;13;;6.277773333333332;6.66667;10;3E;7.083333333333334;;;;Escola Pública;8.666666666666666;;;7.5;;;4.5;Não;;;7.013888333333334;;C;;
ALUNO-33;2021;;;;;;;;;;;;;;;;;;nan;nan;nan;;nan;nan;;;;nan;;;nan;;;nan;;;;;;;nan;
ALUNO-33;2022;;;;;;;;;;;nan;nan;;nan;;;;nan;nan;nan;;nan;;;;;nan;nan;nan;nan;nan;nan;nan;;;;nan;nan;;nan;
ALUNO-34;2020;Ametista;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;;2;;;;Seu destaque em 2020: A sua boa entrega das lições de casa.;;;;;;;12;;7.944443333333334;8.500020000000001;5;2C;8.125;;;;Escola Pública;7;;;6.875;;;9.3;Não;;;7.698890666666667;;B;;
ALUNO-34;2021;Ágata;;;C;;Não avaliado;Mantido na Fase atual;Veterano;;Mantido na Fase atual;;;;;;;;8.7;6.9;5.0;;7.7;-1.0;Promovido de Fase;;Escola Pública;5.5;;;7.5;;;2.9;Não;;Nível 3 (7o e 8o ano);6.129;;;2.0;
